Team ,Auton Gears ,Auton Baseline Cross ,Baseline Cross points ,Auton High Goal Balls ,Auton High Goal Points ,Auton Low Goal Balls ,Auton Low Goal Points ,Average Teleop Gears ,Max Teleop Gears ,Average Total Gears ,Max Total Gears ,Teleop High Goal Balls ,Teleop High Goal Points ,Teleop Low Goal Balls ,Teleop Low Goal Points ,Climb Percentage ,Avergae Climb Points Per Game ,Climb Time ,Catch Time 
114,0.2,1,5,0,0,0,0,2.4,5,2.6,5,0,0,0,0,0.8,40,4.2,3.6
281,0.4,0.8,4,8.6,8.6,0,0,2.6,3,3,4,0,0,0,0,1,50,4.4,4.4
604,0,1,5,0,0,0,0,4,5,4,5,0,0,0,0,0.75,37.5,5.666666667,2
832,0.4,0.8,4,0,0,0,0,2.6,3,3,3,1.4,0.466666667,0,0,1,50,6.8,4.4
1319,0.25,0.75,3.75,0,0,0,0,3,4,3.25,4,0,0,0,0,1,50,3.75,3.75
1410,0.5,1,5,0,0,0,0,2.75,3,3.25,4,0,0,0,0,1,50,4,3.333333333
1619,0,1,5,22.25,22.25,0,0,2.75,4,2.75,4,25.25,8.416666667,0,0,1,50,4.75,3
1744,0,0.75,3.75,1.5,1.5,3.25,1.083333333,2.25,3,2.25,3,0,0,0,0,1,50,7.5,3.25
1778,0.2,1,5,0,0,0,0,2.4,3,2.6,3,0,0,0,0,1,50,5.4,3.2
1836,0.2,0.6,3,0,0,0,0,1.8,3,2,4,0,0,0,0,0.6,30,5,3.666666667
1868,0.5,1,5,0,0,0,0,2.5,3,3,4,0,0,0,0,1,50,5.333333333,4.666666667
1912,0,0.75,3.75,0,0,0,0,1.25,3,1.25,3,0,0,0,0,1,50,5.75,4.5
2230,0,0.5,2.5,0,0,0,0,2.75,4,2.75,4,0,0,0,0,0.5,25,3.666666667,3.5
2383,0.5,1,5,3.5,3.5,0,0,1.5,3,2,4,0,0,0,0,0.5,25,5.666666667,5
2444,0.4,0.8,4,0,0,0,0,2.4,3,2.8,4,0,0,0,0,0.6,30,3.8,5.2
2543,0,1,5,0,0,0,0,2,3,2,3,0,0,0,0,0.25,12.5,5,21.33333333
2583,0,0.75,3.75,0,0,0,0,1.75,2,1.75,2,0,0,0,0,0.75,37.5,7.5,2.5
2587,0.25,1,5,0,0,0.25,0.083333333,2.25,4,2.5,4,0,0,0,0,0.75,37.5,4.666666667,2
2682,0.75,1,5,0,0,0,0,2.25,3,3,4,0,0,0,0,1,50,3.25,1.75
2848,0.5,1,5,0,0,0,0,3.75,5,4.25,6,0.75,0.25,0,0,0.75,37.5,5.5,4
2896,0.25,1,5,0,0,0,0,1.25,2,1.5,2,0,0,0,0,0.5,25,3.333333333,9.5
2903,0.4,0.6,3,0,0,0,0,2.8,4,3.2,5,0,0,0,0,0.2,10,2,1.25
2910,0.25,0.5,2.5,6.25,6.25,0,0,2.25,3,2.5,4,0,0,0,0,1,50,3,3
2950,0.2,1,5,0,0,0,0,2.2,3,2.4,3,0,0,0,0,0.6,30,9.4,3.8
2996,0.25,1,5,0,0,0,0,2.25,3,2.5,4,0,0,0,0,0.75,37.5,5.25,4.75
3039,0.333333333,1,5,2,2,0,0,3.333333333,4,3.666666667,5,0,0,0,0,1,50,5.666666667,8
3132,0.6,1,5,6.6,6.6,0,0,1.4,3,2,4,33.2,11.06666667,0,0,1,50,4.8,4
3309,0,1,5,23.5,23.5,0,0,2.25,4,2.25,4,76.5,25.5,0,0,1,50,3.666666667,2
3314,0.25,1,5,5,5,0,0,2.5,3,2.75,4,0.75,0.25,0,0,0.75,37.5,4,2
3562,0,0.5,2.5,0,0,0,0,0.75,1,0.75,1,0,0,0,0,0.25,12.5,4,16.5
3835,0.4,1,5,0,0,0,0,2.6,3,3,4,0,0,0,0,0.8,40,6.75,3.75
3931,0,1,5,9.75,9.75,0,0,2.25,3,2.25,3,0,0,0,0,1,50,4.333333333,3.666666667
4005,0.2,1,5,0,0,0,0,1.8,3,2,3,0,0,0,0,0.4,20,14.66666667,10.25
4400,0.2,1,5,0,0,0,0,2.2,3,2.4,3,0,0,0,0,0.4,20,3.333333333,9
4401,0.666666667,1,5,0,0,0,0,1.666666667,3,2.333333333,3,0,0,0,0,0.666666667,33.33333333,2.5,9.333333333
4403,0.25,0.75,3.75,0,0,0,0,2,3,2.25,3,0,0,0,0,0.75,37.5,3,2.5
4488,1,1,5,2.75,2.75,0,0,3.25,4,4.25,5,0,0,0,0,0.75,37.5,3.25,3.5
4513,0.5,1,5,0,0,0,0,2.5,3,3,4,0,0,0,0,0.75,37.5,6.666666667,9
4613,0,1,5,11.25,11.25,0,0,1.75,3,1.75,4,24.25,8.083333333,0,0,0.75,37.5,2.333333333,4
4635,0.2,1,5,0,0,0,0,3.2,4,3.4,4,0,0,0,0,0.6,30,12,2.4
4915,0,1,5,5,5,0,0,1,2,1,2,61,20.33333333,0,0,1,50,5.5,3.25
4941,0.75,1,5,0,0,0,0,3,4,3.75,5,0,0,0,0,1,50,4.5,2.5
4944,0,0.75,3.75,0,0,0,0,2.25,4,2.25,4,0,0,0,0,1,50,4.25,3
4965,0.5,0.75,3.75,0,0,0,0,2,3,2.5,3,0,0,0,0,0.75,37.5,10.66666667,3.666666667
5002,0,1,5,0,0,0,0,2.25,3,2.25,3,0,0,0,0,0.5,25,14.33333333,2.333333333
5429,0.6,1,5,0,0,0,0,2.6,3,3.2,4,0,0,0,0,0.8,40,2.25,4.6
5431,0.5,1,5,0,0,0,0,3.25,4,3.75,5,0,0,0,0,0.75,37.5,1.666666667,9.25
5454,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
5458,0.4,1,5,0,0,0,0,2.2,3,2.6,4,0,0,0,0,1,50,5,4.8
5496,0,0.75,3.75,0,0,0,0,1.5,3,1.5,3,0,0,0,0,0.75,37.5,8.666666667,4
5516,0,1,5,0,0,0,0,1.5,2,1.5,2,0,0,0,0,0.75,37.5,5.5,3.333333333
5588,0.4,1,5,0,0,0,0,3.6,4,4,5,0,0,0,0,1,50,5.2,8.2
5663,0,1,5,0,0,0,0,1.75,3,1.75,3,0,0,0,0,0.5,25,5.5,17
