Team ,Auton Gears ,Auton Baseline Cross ,Baseline Cross points ,Auton High Goal Balls ,Auton High Goal Points ,Auton Low Goal Balls ,Auton Low Goal Points ,Average Teleop Gears ,Max Teleop Gears ,Average Full Cycle Gears,Max Full Cycle Gears,Average Total Gears ,Max Total Gears ,Teleop High Goal Balls ,Teleop High Goal Points ,Teleop Low Goal Balls ,Teleop Low Goal Points ,Climb Percentage ,Avergae Climb Points Per Game ,Climb Time ,Catch Time 
2848,0.555555556,1,5,0,0,0,0,3.777777778,0,0.333333333,5,4.333333333,6,0.333333333,0.111111111,0,0,0.666666667,33.33333333,6.888888889,5
4488,0.8,1,5,2.2,2.2,0,0,3.5,0,0.1,4,4.3,5,0.1,0.033333333,0,0,0.8,40,3.888888889,3.555555556
604,0.1,1,5,0,0,0,0,4.4,0,0,5,4.5,6,0,0,0,0,0.8,40,4.375,2.875
5588,0.5,1,5,0,0,0,0,3.2,0,0,4,3.7,4,0,0,0,0,0.7,35,5.571428571,8.5
5431,0.5,1,5,0,0,0,0,3.4,0,0,4,3.9,5,0,0,0,0,0.7,35,1.571428571,6.888888889
4941,0.666666667,1,5,0,0,0,0,3.222222222,0,0,4,3.888888889,5,0,0,0,0,0.888888889,44.44444444,4.375,2.875
3039,0.222222222,0.888888889,4.444444444,1.666666667,1.666666667,0,0,3.444444444,0,0.111111111,4,3.666666667,4,0.111111111,0.037037037,0,0,0.888888889,44.44444444,5,8.111111111
5818,0.6,0.9,4.5,0,0,0,0,2.9,0,0,4,3.5,4,0,0,0,0,0.8,40,3.333333333,3.333333333
4635,0.2,1,5,0,0,0,0,3.2,0,0,3,3.4,4,0,0,0,0,0.7,35,12.77777778,2.8
1319,0.4,0.9,4.5,0,0,0,0,3.1,0,0,3,3.5,4,0,0,0,0,0.9,45,4,3.666666667
1410,0.4,1,5,0,0,0,0,2.9,0,0,3,3.3,5,0,0,0,0,0.9,45,3.125,4.888888889
5429,0.5,1,5,0,0,0,0,3.5,0,0,5,4,6,0,0,0,0,0.8,40,2.25,4.333333333
2903,0.4,0.8,4,0,0,0,0,3.1,0,0,4,3.5,4,0,0,0,0,0.3,15,2.6,2.666666667
4513,0.5,1,5,0,0,0,0,2.6,0,0,4,3.1,4,0,0,0,0,0.9,45,5.111111111,7.666666667
1868,0.3,1,5,0,0,0,0,2.6,0,0,3,2.9,3,0,0,0,0,1,50,4.555555556,3.111111111
281,0.7,0.9,4.5,4.6,4.6,0,0,2.7,0,0.3,4,3.4,4,0.3,0.1,0,0,0.9,45,4.444444444,6.4
832,0.5,0.9,4.5,0,0,0,0,2.2,0,1.7,3,2.7,3,1.7,0.566666667,0,0,0.9,45,6,4.1
3835,0.2,1,5,0,0,0,0,3.1,0,0,3,3.3,4,0,0,0,0,0.6,30,8.857142857,4.444444444
2682,0.6,1,5,0,0,0,0,2.8,0,0,4,3.4,4,0,0,0,0,1,50,3.6,2.2
2444,0.3,0.9,4.5,0,0,0,0,2.4,0,0,3,2.7,3,0,0,0,0,0.7,35,4.444444444,4.6
6366,0.3,0.9,4.5,0,0,0,0,2.4,0,0,4,2.7,4,0,0,0,0,0.9,45,3.111111111,4.3
2230,0.4,0.7,3.5,0,0,0,0,2.8,0,0,3,3.2,4,0,0,0,0,0.7,35,4.625,4.4
1619,0.1,1,5,22.4,22.4,0,0,1.9,0,39.8,2,2,4,39.8,13.26666667,0,0,1,50,4.5,2.8
6055,0.4,1,5,3.3,3.3,0,0,2.4,0,0,3,2.8,4,0,0,0,0,0.6,30,2.857142857,9.777777778
3314,0.4,0.8,4,5.8,5.8,0,0,3,0,0.3,5,3.4,5,0.3,0.1,0,0,0.8,40,4.555555556,2.777777778
6340,0,0.7,3.5,0,0,2.1,0.7,3.111111111,0,0,4,3.111111111,5,0,0,0,0,1,50,4.375,3.625
114,0.4,1,5,0,0,0,0,2.6,0,0,4,3,5,0,0,0,0,0.6,30,7.5,3
5458,0.5,1,5,0,0,0,0,3.1,0,0,5,3.6,5,0,0,0,0,1,50,5,5.2
1778,0.555555556,1,5,0,0,0,0,2.777777778,0,0,4,3.333333333,4,0,0,0,0,1,50,5.888888889,2.777777778
2587,0.1,1,5,0,0,0.1,0.033333333,2.6,0,0,3,2.7,4,0,0,0,0,0.9,45,4.444444444,2.4
