,8,100,114,115,192,199,253,254,256,299,581,604,668,670,751,766,841,846,852,971,972,1280,1351,1868,1967,2035,2135,2367,2468,2473,2489,2643,2813,3482,4159,4171,4186,4255,4904,4990,5026,5027,5104,5171,5677,5728,5737,5773,5905,5924,5940,6036,6039,6059,6380,6410,6418,6619,6665,6688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auton Gears ,0.25,0.111111111,0.222222222,0.333333333,0,0.125,0.222222222,0.5,0,0.666666667,0.222222222,0.666666667,0.444444444,0.111111111,0.222222222,0.222222222,0,0.111111111,0.111111111,0,0.333333333,0,0.222222222,0.888888889,0,0.333333333,0.666666667,0.333333333,0,0.444444444,0.125,0,0,0.25,0,0,0.111111111,0.111111111,0.222222222,0.333333333,0,0.125,0.444444444,0.111111111,0.111111111,0,0.111111111,0,0,0.25,0.111111111,0,0,0.111111111,0,0,0,0.125,0.222222222,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auton Cross Baseline ,1,0.888888889,0.888888889,1,0.625,1,1,0.666666667,0.875,0.888888889,0.777777778,1,0.888888889,0.777777778,0.888888889,0.888888889,0.888888889,1.333333333,0.888888889,0.777777778,1,1,0.888888889,1,0.777777778,0.666666667,0.777777778,0.777777778,0.571428571,1,0.625,0.666666667,0.888888889,1,0.777777778,0.625,1,0.888888889,0.888888889,0.888888889,1,1,1,0.888888889,0.888888889,0.888888889,1,0.888888889,0.75,0.875,0.666666667,1,0.777777778,0.333333333,1,1,1,0.888888889,0.888888889,0.666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Cross Points ,5,4.444444444,4.444444444,5,3.125,5,5,3.333333333,4.375,4.444444444,3.888888889,5,4.444444444,3.888888889,4.444444444,4.444444444,4.444444444,6.666666667,4.444444444,3.888888889,5,5,4.444444444,5,3.888888889,3.333333333,3.888888889,3.888888889,2.857142857,5,3.125,3.333333333,4.444444444,5,3.888888889,3.125,5,4.444444444,4.444444444,4.444444444,5,5,5,4.444444444,4.444444444,4.444444444,5,4.444444444,3.75,4.375,3.333333333,5,3.888888889,1.666666667,5,5,5,4.444444444,4.444444444,3.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auton High Goal Balls ,0,0,0,0,1.75,0,0,20.11111111,0,0,0,0,0,0,0,0,0,0.888888889,0,31.55555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auton High Goal Points ,0,0,0,0,1.75,0,0,20.11111111,0,0,0,0,0,0,0,0,0,0.888888889,0,31.55555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auton Low Goal Balls ,0,0,0,0,0,0,0,0,0,0,0,0,0,2.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auton Low Goal Points ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teleop Gears ,3.125,1.888888889,2.777777778,3.555555556,2,1.125,2,2.444444444,1.75,1.666666667,2.111111111,3.666666667,2.555555556,1.666666667,4,2.111111111,2.555555556,2.111111111,2,2.111111111,2.111111111,2,1.777777778,2.111111111,1.333333333,2.888888889,1.666666667,1.666666667,3.428571429,3.333333333,0.625,2.222222222,1.777777778,2.875,2,0.875,1.555555556,2.111111111,3,2.555555556,3,1.125,2.111111111,2.666666667,2.666666667,1,1.555555556,0.555555556,0.375,4.125,1.555555556,2.555555556,1.333333333,0.777777778,1.666666667,0,2.777777778,1.333333333,1.333333333,0.111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teleop High Goal Balls ,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,32.11111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
